Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691573,
,BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E
,"Monthly, Working day and seasonally adjusted, Monetary aggregate M2, Outstanding amounts at the end of the period (stocks), Non-MFIs excluding central government, Euro"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
31/01/2023,15299900
31/12/2022,15271181
30/11/2022,15327280
31/10/2022,15372986
30/09/2022,15443084
31/08/2022,15299179
31/07/2022,15176984
30/06/2022,15079146
31/05/2022,14999598
30/04/2022,14960220
31/03/2022,14894598
28/02/2022,14835412
31/01/2022,14760684
31/12/2021,14676234
30/11/2021,14590780
31/10/2021,14539142
30/09/2021,14467320
31/08/2021,14357504
31/07/2021,14284776
30/06/2021,14200264
31/05/2021,14116289
30/04/2021,14040983
31/03/2021,13977137
28/02/2021,13888681
31/01/2021,13815426
31/12/2020,13716117
30/11/2020,13617836
31/10/2020,13527421
30/09/2020,13453769
31/08/2020,13321056
31/07/2020,13275257
30/06/2020,13213104
31/05/2020,13124265
30/04/2020,12956683
31/03/2020,12774603
29/02/2020,12480608
31/01/2020,12405295
31/12/2019,12372998
30/11/2019,12373573
31/10/2019,12324366
30/09/2019,12270047
31/08/2019,12226852
31/07/2019,12121637
30/06/2019,12068759
31/05/2019,12014420
30/04/2019,11951971
31/03/2019,11883720
28/02/2019,11797421
31/01/2019,11733915
31/12/2018,11699965
30/11/2018,11663952
31/10/2018,11613429
30/09/2018,11564787
31/08/2018,11506989
31/07/2018,11486538
30/06/2018,11485063
31/05/2018,11401970
30/04/2018,11323734
31/03/2018,11283544
28/02/2018,11273525
31/01/2018,11257672
31/12/2017,11204696
30/11/2017,11172754
31/10/2017,11140042
30/09/2017,11097985
31/08/2017,11065231
31/07/2017,11005244
30/06/2017,10981536
31/05/2017,10925684
30/04/2017,10912084
31/03/2017,10880427
28/02/2017,10815353
31/01/2017,10760500
31/12/2016,10710106
30/11/2016,10662474
31/10/2016,10594607
30/09/2016,10569462
31/08/2016,10531606
31/07/2016,10504394
30/06/2016,10446135
31/05/2016,10423675
30/04/2016,10381369
31/03/2016,10341297
29/02/2016,10321171
31/01/2016,10271770
31/12/2015,10216660
30/11/2015,10183229
31/10/2015,10124830
30/09/2015,10060593
31/08/2015,10033446
31/07/2015,10010866
30/06/2015,9944527
31/05/2015,9912431
30/04/2015,9863429
31/03/2015,9816599
28/02/2015,9761662
31/01/2015,9745468
31/12/2014,9676555
30/11/2014,9561674
31/10/2014,9499658
30/09/2014,9483430
31/08/2014,9436162
31/07/2014,9389631
30/06/2014,9359589
31/05/2014,9337918
30/04/2014,9287801
31/03/2014,9285079
28/02/2014,9267197
31/01/2014,9238732
31/12/2013,9212977
30/11/2013,9234336
31/10/2013,9218377
30/09/2013,9198967
31/08/2013,9183535
31/07/2013,9148110
30/06/2013,9125335
31/05/2013,9129711
30/04/2013,9109515
31/03/2013,9081543
28/02/2013,9048349
31/01/2013,9013246
31/12/2012,8998958
30/11/2012,8974214
31/10/2012,8948027
30/09/2012,8877475
31/08/2012,8845969
31/07/2012,8830667
30/06/2012,8775598
31/05/2012,8746560
30/04/2012,8705181
31/03/2012,8722473
29/02/2012,8680079
31/01/2012,8644925
31/12/2011,8606661
30/11/2011,8587775
31/10/2011,8572574
30/09/2011,8592984
31/08/2011,8558283
31/07/2011,8511835
30/06/2011,8492392
31/05/2011,8482052
30/04/2011,8455827
31/03/2011,8456873
28/02/2011,8445338
31/01/2011,8436323
31/12/2010,8422233
30/11/2010,8404347
31/10/2010,8387810
30/09/2010,8370017
31/08/2010,8368518
31/07/2010,8329899
30/06/2010,8312975
31/05/2010,8283507
30/04/2010,8264154
31/03/2010,8231165
28/02/2010,8229462
31/01/2010,8220701
31/12/2009,8208711
30/11/2009,8180443
31/10/2009,8194428
30/09/2009,8191538
31/08/2009,8176771
31/07/2009,8183299
30/06/2009,8154141
31/05/2009,8141241
30/04/2009,8147389
31/03/2009,8094323
28/02/2009,8111334
31/01/2009,8087758
31/12/2008,8041538
30/11/2008,8034441
31/10/2008,8009622
30/09/2008,7868040
31/08/2008,7788144
31/07/2008,7751938
30/06/2008,7699352
31/05/2008,7673421
30/04/2008,7616619
31/03/2008,7536726
29/02/2008,7504851
31/01/2008,7441484
31/12/2007,7355442
30/11/2007,7320781
31/10/2007,7267619
30/09/2007,7164700
31/08/2007,7099209
31/07/2007,7057926
30/06/2007,6985998
31/05/2007,6918862
30/04/2007,6850529
31/03/2007,6824746
28/02/2007,6739798
31/01/2007,6705335
31/12/2006,6663696
30/11/2006,6555358
31/10/2006,6500209
30/09/2006,6487413
31/08/2006,6407669
31/07/2006,6369005
30/06/2006,6362898
31/05/2006,6317689
30/04/2006,6295738
31/03/2006,6221565
28/02/2006,6176009
31/01/2006,6124714
31/12/2005,6093186
30/11/2005,6027064
31/10/2005,6001860
30/09/2005,5980748
31/08/2005,5914509
31/07/2005,5885266
30/06/2005,5824959
31/05/2005,5762299
30/04/2005,5721454
31/03/2005,5679341
28/02/2005,5653315
31/01/2005,5623288
31/12/2004,5573540
30/11/2004,5542737
31/10/2004,5518152
30/09/2004,5484081
31/08/2004,5438154
31/07/2004,5421035
30/06/2004,5385279
31/05/2004,5355734
30/04/2004,5341144
31/03/2004,5316424
29/02/2004,5281581
31/01/2004,5259980
31/12/2003,5238327
30/11/2003,5217471
31/10/2003,5200531
30/09/2003,5167505
31/08/2003,5160933
31/07/2003,5123636
30/06/2003,5096544
31/05/2003,5088934
30/04/2003,5048210
31/03/2003,5000011
28/02/2003,4968610
31/01/2003,4922129
31/12/2002,4915147
30/11/2002,4890882
31/10/2002,4847022
30/09/2002,4821013
31/08/2002,4785365
31/07/2002,4761547
30/06/2002,4735880
31/05/2002,4719009
30/04/2002,4697507
31/03/2002,4662027
28/02/2002,4650397
31/01/2002,4645232
31/12/2001,4615510
30/11/2001,4588671
31/10/2001,4553696
30/09/2001,4533918
31/08/2001,4501923
31/07/2001,4481145
30/06/2001,4467986
31/05/2001,4429759
30/04/2001,4412550
31/03/2001,4382791
28/02/2001,4363192
31/01/2001,4340387
31/12/2000,4226952
30/11/2000,4226830
31/10/2000,4225858
30/09/2000,4212330
31/08/2000,4209465
31/07/2000,4183450
30/06/2000,4171277
31/05/2000,4168507
30/04/2000,4174322
31/03/2000,4149339
29/02/2000,4136412
31/01/2000,4121606
31/12/1999,4078868
30/11/1999,4066747
31/10/1999,4052935
30/09/1999,4029253
31/08/1999,4024225
31/07/1999,4023726
30/06/1999,3988595
31/05/1999,3968746
30/04/1999,3952443
31/03/1999,3930847
28/02/1999,3905442
31/01/1999,3930982
31/12/1998,3848054
30/11/1998,3805327
31/10/1998,3776275
30/09/1998,3756213
31/08/1998,3747240
31/07/1998,3735036
30/06/1998,3742800
31/05/1998,3718207
30/04/1998,3695000
31/03/1998,3666674
28/02/1998,3656642
31/01/1998,3638426
31/12/1997,3615677
30/11/1997,3600773
31/10/1997,3595263
30/09/1997,3570962
31/08/1997,3558109
31/07/1997,3548645
30/06/1997,3533982
31/05/1997,3514659
30/04/1997,3498629
31/03/1997,3496684
28/02/1997,3493517
31/01/1997,3482856
31/12/1996,3485231
30/11/1996,3455104
31/10/1996,3436406
30/09/1996,3430659
31/08/1996,3412208
31/07/1996,3397399
30/06/1996,3382265
31/05/1996,3368180
30/04/1996,3358564
31/03/1996,3337370
29/02/1996,3329074
31/01/1996,3319911
31/12/1995,3312463
30/11/1995,3280691
31/10/1995,3269129
30/09/1995,3256397
31/08/1995,3233209
31/07/1995,3220407
30/06/1995,3212302
31/05/1995,3197971
30/04/1995,3182541
31/03/1995,3176992
28/02/1995,3172336
31/01/1995,3158136
31/12/1994,3159101
30/11/1994,3167131
31/10/1994,3169833
30/09/1994,3162985
31/08/1994,3157950
31/07/1994,3155590
30/06/1994,3145542
31/05/1994,3135071
30/04/1994,3133464
31/03/1994,3125371
28/02/1994,3101072
31/01/1994,3085865
31/12/1993,3067025
30/11/1993,3037935
31/10/1993,3013455
30/09/1993,2989060
31/08/1993,2977872
31/07/1993,2962145
30/06/1993,2950419
31/05/1993,2937506
30/04/1993,2918598
31/03/1993,2905799
28/02/1993,2876975
31/01/1993,2861813
31/12/1992,2853356
30/11/1992,2860628
31/10/1992,2839113
30/09/1992,2836589
31/08/1992,2803439
31/07/1992,2792853
30/06/1992,2784130
31/05/1992,2778249
30/04/1992,2764811
31/03/1992,2747609
29/02/1992,2729621
31/01/1992,2720803
31/12/1991,2722085
30/11/1991,2704447
31/10/1991,2683318
30/09/1991,2672023
31/08/1991,2665240
31/07/1991,2650528
30/06/1991,2639742
31/05/1991,2630099
30/04/1991,2615487
31/03/1991,2601696
28/02/1991,2601663
31/01/1991,2583655
31/12/1990,2573883
30/11/1990,2560619
31/10/1990,2548320
30/09/1990,2539282
31/08/1990,2521801
31/07/1990,2506891
30/06/1990,2494707
31/05/1990,2386578
30/04/1990,2378067
31/03/1990,2371264
28/02/1990,2368976
31/01/1990,2360748
31/12/1989,2343345
30/11/1989,2326287
31/10/1989,2312607
30/09/1989,2303555
31/08/1989,2292824
31/07/1989,2280165
30/06/1989,2263203
31/05/1989,2240671
30/04/1989,2224430
31/03/1989,2222161
28/02/1989,2197853
31/01/1989,2185797
31/12/1988,2173774
30/11/1988,2167024
31/10/1988,2154925
30/09/1988,2139817
31/08/1988,2131825
31/07/1988,2116901
30/06/1988,2100900
31/05/1988,2090533
30/04/1988,2076081
31/03/1988,2057427
29/02/1988,2046281
31/01/1988,2037581
31/12/1987,2027444
30/11/1987,2024128
31/10/1987,2016290
30/09/1987,2002177
31/08/1987,1992865
31/07/1987,1985755
30/06/1987,1975973
31/05/1987,1962800
30/04/1987,1952955
31/03/1987,1940390
28/02/1987,1927091
31/01/1987,1918425
31/12/1986,1903734
30/11/1986,1896941
31/10/1986,1889296
30/09/1986,1872837
31/08/1986,1858580
31/07/1986,1847233
30/06/1986,1832456
31/05/1986,1824547
30/04/1986,1815354
31/03/1986,1818276
28/02/1986,1800828
31/01/1986,1792537
31/12/1985,1784034
30/11/1985,1760581
31/10/1985,1755357
30/09/1985,1746936
31/08/1985,1738364
31/07/1985,1731220
30/06/1985,1722006
31/05/1985,1715317
30/04/1985,1709983
31/03/1985,1700138
28/02/1985,1691806
31/01/1985,1676415
31/12/1984,1661882
30/11/1984,1649653
31/10/1984,1638411
30/09/1984,1631220
31/08/1984,1617813
31/07/1984,1603857
30/06/1984,1591965
31/05/1984,1583749
30/04/1984,1568820
31/03/1984,1559014
29/02/1984,1549774
31/01/1984,1543563
31/12/1983,1537092
30/11/1983,1526253
31/10/1983,1513481
30/09/1983,1503408
31/08/1983,1498206
31/07/1983,1486582
30/06/1983,1474969
31/05/1983,1464343
30/04/1983,1453878
31/03/1983,1443423
28/02/1983,1435898
31/01/1983,1425088
31/12/1982,1414556
30/11/1982,1401761
31/10/1982,1389853
30/09/1982,1382740
31/08/1982,1372472
31/07/1982,1358609
30/06/1982,1347524
31/05/1982,1334764
30/04/1982,1326733
31/03/1982,1313351
28/02/1982,1299092
31/01/1982,1287848
31/12/1981,1273805
30/11/1981,1264026
31/10/1981,1253958
30/09/1981,1246150
31/08/1981,1234000
31/07/1981,1230470
30/06/1981,1223076
31/05/1981,1215847
30/04/1981,1204188
31/03/1981,1194414
28/02/1981,1186668
31/01/1981,1175008
31/12/1980,1165452
30/11/1980,1160031
31/10/1980,1145159
30/09/1980,1133419
31/08/1980,1127098
31/07/1980,1120452
30/06/1980,1109205
31/05/1980,1100958
30/04/1980,1093263
31/03/1980,1088333
29/02/1980,1078232
31/01/1980,1070496
